warehouse_area_m2,daily_throughput,total_equipment_count,workers,shift_type,conveyor_count,rtv_agv_count,srm_count,robot_arm_count,rack_count,wms_implemented,agv_implemented,automation_level,season,day_of_week,equipment_age_years,condition_factor,conveyor_utilization,rtv_utilization,srm_utilization,robot_utilization,avg_conveyor_time,avg_rtv_time,avg_srm_time,avg_robot_time,equipment_efficiency,maintenance_frequency,processing_time_seconds,picking_accuracy_percent,error_rate_percent,labor_cost_per_order_krw
30000,20204,62,60,3,34,13,13,2,60,1,1,4,2,2,19,0.62,0.657,0.669,0.705,0.413,3.54,8.68,7.2,1.97,62.0,9.5,14.83,90.3,1.93,85000
10000,6153,49,46,2,26,14,8,1,20,1,1,4,3,1,15,0.7,0.668,0.567,0.735,0.426,4.89,8.02,9.4,3.43,70.0,7.5,9.87,94.4,1.57,85000
5000,4203,40,30,3,16,7,15,2,10,0,1,3,4,7,8,0.84,0.648,0.699,0.859,0.43,7.59,6.03,9.85,2.96,84.0,4.0,5.0,93.8,1.58,85000
10000,21091,48,50,2,22,15,10,1,20,1,1,4,2,6,17,0.6599999999999999,0.565,0.612,0.807,0.235,5.53,11.59,5.92,3.38,66.0,8.5,12.52,92.8,1.75,85000
10000,9289,60,63,3,20,24,14,2,20,1,1,5,3,6,17,0.6599999999999999,0.725,0.624,0.663,0.573,7.95,7.23,6.28,4.71,66.0,8.5,8.51,94.4,1.58,85000
5000,2567,20,14,2,7,6,7,0,10,1,0,2,2,6,18,0.64,0.708,0.532,0.651,0.385,4.51,10.49,7.02,1.93,64.0,9.0,13.81,86.0,2.72,85000
30000,48146,44,45,2,20,11,10,3,60,1,1,4,4,4,7,0.86,0.587,0.699,0.801,0.483,6.89,6.86,5.23,3.86,86.0,3.5,5.26,98.0,0.85,85000
10000,20313,55,46,1,18,18,15,4,20,1,1,4,4,5,13,0.74,0.66,0.592,0.778,0.417,4.26,8.07,5.09,4.63,74.0,6.5,5.53,96.2,1.39,85000
30000,76872,31,32,3,11,12,5,3,60,1,0,3,4,4,5,0.9,0.654,0.446,0.731,0.443,5.12,10.42,9.61,4.7,90.0,2.5,5.0,96.9,1.05,85000
10000,8943,34,27,2,13,9,11,1,20,1,1,3,3,3,9,0.8200000000000001,0.672,0.462,0.815,0.441,3.57,8.49,9.18,4.69,82.0,4.5,6.14,97.6,1.2,85000
15000,26486,42,26,1,17,12,11,2,30,1,0,3,1,5,18,0.64,0.632,0.453,0.884,0.259,5.07,6.51,9.98,3.01,64.0,9.0,12.25,88.2,2.51,85000
5000,8630,60,49,3,33,18,8,1,10,1,1,4,2,1,2,0.96,0.567,0.544,0.699,0.506,3.51,8.01,4.45,4.01,96.0,1.0,6.12,98.0,0.5,85000
15000,12936,47,35,3,22,6,16,3,30,1,1,4,3,7,15,0.7,0.585,0.666,0.723,0.488,7.03,11.93,7.62,4.23,70.0,7.5,9.59,96.3,1.57,85000
10000,15875,53,34,3,30,7,14,2,20,1,0,4,1,3,18,0.64,0.746,0.645,0.637,0.304,4.9,9.54,5.61,3.5,64.0,9.0,19.09,89.7,2.3,85000
30000,26634,39,36,3,21,11,5,2,60,0,1,3,2,7,19,0.62,0.556,0.623,0.78,0.361,4.09,9.87,6.53,1.53,62.0,9.5,11.56,86.5,2.99,85000
10000,16360,34,25,1,11,8,14,1,20,1,0,3,1,1,10,0.8,0.37,0.479,0.607,0.493,4.25,9.8,6.97,3.29,80.0,5.0,11.15,94.3,1.61,85000
10000,18013,32,30,2,20,4,7,1,20,0,1,3,1,5,4,0.92,0.66,0.489,0.727,0.39,6.32,11.62,8.4,1.86,92.0,2.0,8.95,95.3,1.07,85000
30000,57077,70,56,2,31,16,20,3,60,1,1,4,2,5,1,0.98,0.548,0.607,0.674,0.299,7.1,10.8,8.17,2.09,98.0,0.5,5.0,98.0,0.5,85000
5000,3348,66,68,1,31,17,15,3,10,1,1,4,1,7,8,0.84,0.425,0.547,0.588,0.595,7.72,6.24,8.23,4.7,84.0,4.0,11.48,98.0,0.94,85000
10000,16652,19,16,1,11,2,5,1,20,0,0,2,2,7,18,0.64,0.561,0.593,0.76,0.346,5.8,8.89,9.31,3.12,64.0,9.0,11.2,82.4,3.88,85000
15000,8335,88,80,1,48,15,22,3,30,1,1,5,2,4,10,0.8,0.795,0.4,0.574,0.354,7.66,6.42,4.06,1.21,80.0,5.0,8.37,97.3,0.95,85000
30000,69366,73,58,1,34,18,19,2,60,1,1,5,1,6,18,0.64,0.448,0.47,0.517,0.207,7.94,8.57,6.31,3.72,64.0,9.0,18.64,95.2,1.67,85000
5000,10761,65,71,2,23,20,17,5,10,1,1,5,1,3,2,0.96,0.492,0.411,0.883,0.53,7.0,9.78,5.3,3.07,96.0,1.0,6.84,98.0,0.5,85000
15000,14377,42,45,2,23,4,12,3,30,1,0,3,1,5,14,0.72,0.73,0.537,0.656,0.309,5.38,6.27,9.11,1.14,72.0,7.0,14.85,91.4,2.06,85000
10000,17340,41,26,1,17,8,14,2,20,0,1,3,4,5,13,0.74,0.54,0.578,0.83,0.339,6.39,9.39,5.6,4.51,74.0,6.5,6.59,90.5,2.22,85000
30000,48498,67,49,1,30,14,20,3,60,1,0,4,2,4,7,0.86,0.741,0.688,0.686,0.552,3.03,10.92,5.37,4.63,86.0,3.5,7.44,96.7,1.06,85000
5000,3140,17,18,2,5,8,4,0,10,1,0,2,3,6,2,0.96,0.471,0.59,0.873,0.241,7.69,10.13,4.41,2.2,96.0,1.0,5.06,97.7,0.92,84320
10000,10834,25,27,2,10,3,10,2,20,0,0,2,4,7,3,0.94,0.597,0.515,0.526,0.529,4.86,10.91,5.52,1.0,94.0,1.5,5.0,92.9,1.48,85000
30000,17468,28,28,2,11,8,9,0,60,1,1,2,3,6,3,0.94,0.775,0.445,0.673,0.577,5.1,9.83,6.39,2.1,94.0,1.5,5.0,98.0,0.83,85000
30000,32693,21,23,3,7,2,11,1,60,1,0,2,4,4,8,0.84,0.685,0.653,0.804,0.45,3.66,6.2,9.53,3.47,84.0,4.0,5.1,91.8,1.6,85000
5000,11472,70,48,2,28,15,25,2,10,1,1,5,2,5,11,0.78,0.792,0.445,0.686,0.472,4.98,11.85,8.33,3.63,78.0,5.5,11.58,98.0,1.04,85000
5000,4079,49,46,3,23,6,19,1,10,1,1,4,4,6,10,0.8,0.688,0.682,0.529,0.414,7.41,6.5,8.95,2.43,80.0,5.0,6.12,97.5,1.12,85000
30000,45458,19,22,3,7,4,8,0,60,0,0,2,3,1,18,0.64,0.613,0.635,0.745,0.394,6.3,9.32,7.58,4.14,64.0,9.0,10.21,82.4,3.88,85000
15000,9516,75,47,3,29,23,20,3,30,1,1,5,4,5,19,0.62,0.788,0.501,0.573,0.516,6.29,8.99,7.33,3.88,62.0,9.5,8.89,92.7,1.76,85000
5000,8706,20,23,2,11,5,3,1,10,0,0,2,1,4,18,0.64,0.734,0.574,0.675,0.49,5.43,11.24,9.4,2.69,64.0,9.0,17.18,82.4,3.88,85000
10000,11968,35,36,3,22,6,6,1,20,0,1,3,2,4,12,0.76,0.486,0.554,0.665,0.228,5.19,6.58,6.43,3.37,76.0,6.0,12.6,89.8,2.1,85000
5000,2869,53,42,1,21,12,14,6,10,1,0,5,3,7,14,0.72,0.465,0.535,0.768,0.258,5.25,9.53,9.69,2.01,72.0,7.0,10.25,94.3,1.64,85000
30000,14664,49,54,3,19,17,12,1,60,1,1,4,3,6,18,0.64,0.793,0.437,0.592,0.221,6.2,7.35,5.08,1.35,64.0,9.0,11.53,92.3,1.84,85000
10000,21348,30,33,3,11,12,6,1,20,1,1,3,4,7,6,0.88,0.37,0.409,0.623,0.482,4.01,10.04,9.82,1.38,88.0,3.0,5.0,98.0,0.93,85000
5000,10668,33,27,2,10,10,11,2,10,0,0,3,2,2,8,0.84,0.684,0.434,0.818,0.567,6.0,11.65,8.96,3.67,84.0,4.0,7.0,91.4,1.98,85000
10000,11997,46,51,1,23,6,16,1,20,1,1,4,1,5,2,0.96,0.502,0.498,0.767,0.523,6.81,10.79,6.61,4.27,96.0,1.0,7.65,98.0,0.5,85000
5000,2794,91,75,1,45,16,24,6,10,1,1,5,1,1,12,0.76,0.307,0.576,0.567,0.457,6.8,9.0,7.25,4.81,76.0,6.0,12.91,97.3,1.13,85000
15000,16589,33,19,3,11,8,11,3,30,0,0,3,1,4,19,0.62,0.33,0.68,0.641,0.241,5.43,7.54,5.71,2.23,62.0,9.5,15.63,83.7,3.74,85000
15000,33425,72,54,2,29,13,27,3,30,1,1,5,1,6,10,0.8,0.7,0.455,0.618,0.517,3.93,11.51,6.55,1.35,80.0,5.0,10.99,98.0,0.95,85000
5000,5203,27,19,2,10,5,11,1,10,1,0,2,4,2,16,0.6799999999999999,0.578,0.477,0.621,0.493,7.26,10.03,8.86,4.07,68.0,8.0,8.66,86.2,2.49,85000
15000,27935,16,11,1,7,5,4,0,30,0,0,2,2,5,11,0.78,0.416,0.517,0.738,0.399,7.94,6.82,8.17,2.62,78.0,5.5,11.82,87.3,2.76,85000
5000,8869,61,48,3,33,12,13,3,10,1,1,5,1,6,4,0.92,0.396,0.497,0.591,0.342,3.35,9.11,4.41,4.2,92.0,2.0,7.59,98.0,0.5,85000
10000,18668,39,24,2,21,6,10,2,20,0,1,3,2,1,8,0.84,0.59,0.427,0.885,0.454,6.77,7.02,6.46,2.69,84.0,4.0,6.58,92.6,1.58,85000
15000,7748,67,74,1,27,17,21,2,30,1,1,5,4,6,1,0.98,0.604,0.552,0.564,0.225,3.59,7.36,6.05,2.52,98.0,0.5,5.0,98.0,0.5,85000
5000,10144,32,22,2,16,7,6,3,10,0,0,3,3,7,10,0.8,0.551,0.519,0.716,0.451,6.37,9.19,8.33,1.57,80.0,5.0,8.12,90.0,2.3,85000
15000,14417,35,41,2,16,8,9,2,30,1,0,4,1,2,4,0.92,0.603,0.442,0.859,0.532,4.59,11.72,8.95,3.67,92.0,2.0,7.62,98.0,0.73,85000
5000,2430,59,69,1,18,18,19,4,10,0,1,4,3,6,6,0.88,0.3,0.405,0.741,0.346,4.93,9.39,5.15,1.85,88.0,3.0,7.09,97.0,1.09,85000
15000,32223,25,18,3,7,6,11,1,30,0,0,2,4,4,8,0.84,0.707,0.585,0.623,0.45,5.64,8.56,4.78,4.55,84.0,4.0,5.1,89.4,2.28,85000
10000,19109,53,56,2,28,12,12,1,20,1,1,4,3,2,6,0.88,0.43,0.628,0.555,0.414,4.08,6.07,5.45,4.9,88.0,3.0,5.49,98.0,0.76,85000
30000,16315,38,33,1,23,7,6,2,60,0,1,3,1,4,10,0.8,0.746,0.687,0.815,0.326,6.44,8.63,5.53,4.36,80.0,5.0,11.48,91.1,1.84,85000
30000,73422,49,48,3,16,13,18,2,60,1,0,4,1,4,5,0.9,0.669,0.554,0.772,0.217,3.42,10.3,4.43,1.29,90.0,2.5,7.89,98.0,0.84,85000
15000,32084,63,53,1,33,17,10,3,30,1,1,4,2,6,6,0.88,0.341,0.554,0.86,0.513,4.14,11.86,8.0,1.04,88.0,3.0,8.61,98.0,0.76,85000
5000,5287,63,48,2,32,15,12,4,10,1,1,4,2,5,2,0.96,0.364,0.501,0.871,0.29,4.86,8.59,6.64,3.45,96.0,1.0,5.7,98.0,0.5,85000
15000,16028,47,43,1,21,6,19,1,30,1,0,4,1,6,8,0.84,0.579,0.454,0.522,0.328,6.77,7.62,7.24,3.91,84.0,4.0,10.02,95.7,1.18,85000
5000,9813,42,35,1,24,6,11,1,10,1,1,3,1,1,19,0.62,0.376,0.428,0.731,0.551,5.17,6.97,7.35,4.25,62.0,9.5,18.67,87.9,2.09,85000
30000,60481,31,22,1,14,6,9,2,60,0,0,2,4,5,10,0.8,0.68,0.411,0.798,0.281,7.79,8.21,5.96,1.6,80.0,5.0,5.96,88.0,2.6,85000
15000,26679,26,29,3,14,5,6,1,30,0,1,2,2,5,7,0.86,0.302,0.586,0.642,0.518,3.46,9.53,6.89,3.57,86.0,3.5,8.2,92.2,1.7,85000
30000,54194,38,23,3,23,5,7,3,60,1,1,3,1,7,13,0.74,0.673,0.695,0.584,0.53,5.6,8.24,4.73,3.94,74.0,6.5,12.53,92.4,1.56,85000
5000,9353,60,59,1,25,14,19,2,10,1,1,4,2,4,15,0.7,0.505,0.652,0.654,0.429,5.94,7.11,6.17,2.34,70.0,7.5,11.7,93.7,1.57,85000
5000,7402,35,30,1,19,6,9,1,10,0,0,3,1,2,4,0.92,0.325,0.671,0.864,0.512,3.04,6.34,5.35,1.53,92.0,2.0,8.66,94.2,1.34,85000
5000,12106,25,19,3,8,6,10,1,10,0,1,2,3,7,16,0.6799999999999999,0.486,0.529,0.838,0.307,3.78,11.12,4.28,3.48,68.0,8.0,8.33,85.4,2.85,85000
15000,25351,67,45,3,32,13,18,4,30,0,0,4,1,2,14,0.72,0.665,0.694,0.603,0.462,3.99,9.39,6.78,4.89,72.0,7.0,15.24,89.2,2.64,85000
30000,21364,17,12,3,5,3,7,2,60,0,0,2,2,7,2,0.96,0.502,0.563,0.817,0.42,6.06,7.36,9.08,2.71,96.0,1.0,6.06,93.6,1.32,85000
5000,5338,68,43,2,35,12,16,5,10,1,1,5,4,3,17,0.6599999999999999,0.401,0.478,0.566,0.332,6.78,9.12,5.23,4.51,66.0,8.5,7.4,96.5,1.58,85000
15000,38895,32,21,3,21,4,6,1,30,1,1,3,4,4,6,0.88,0.486,0.536,0.659,0.237,5.21,7.17,5.12,1.38,88.0,3.0,5.15,97.3,0.93,85000
5000,10542,38,40,3,17,5,14,2,10,1,0,3,4,3,11,0.78,0.792,0.442,0.581,0.274,7.47,9.93,4.91,2.76,78.0,5.5,5.65,93.1,1.72,85000
10000,6856,80,68,3,30,23,25,2,20,1,1,5,1,5,6,0.88,0.79,0.597,0.552,0.475,3.47,6.18,8.94,1.84,88.0,3.0,9.41,98.0,0.59,85000
10000,18293,72,78,1,31,18,20,3,20,1,0,5,1,2,16,0.6799999999999999,0.656,0.648,0.54,0.296,3.71,8.09,6.7,4.0,68.0,8.0,15.41,93.8,1.86,85000
30000,18556,27,18,2,15,7,5,0,60,0,1,2,2,3,7,0.86,0.384,0.597,0.897,0.229,3.39,8.04,9.2,1.86,86.0,3.5,7.61,92.6,1.7,85000
5000,5306,59,63,1,31,10,16,2,10,1,0,5,3,2,2,0.96,0.524,0.538,0.846,0.419,4.9,11.86,4.66,2.69,96.0,1.0,5.0,98.0,0.5,85000
30000,24326,56,64,2,30,14,10,2,60,0,0,4,3,1,14,0.72,0.663,0.491,0.832,0.313,7.36,6.68,8.22,3.16,72.0,7.0,9.21,89.2,2.64,85000
30000,67773,26,20,2,15,6,5,0,60,1,0,2,1,4,2,0.96,0.634,0.578,0.857,0.274,3.39,7.44,8.77,1.14,96.0,1.0,6.74,97.3,0.92,85000
30000,20081,57,54,1,35,10,11,1,60,1,1,4,1,5,3,0.94,0.715,0.664,0.729,0.407,5.15,7.9,6.61,4.1,94.0,1.5,8.17,98.0,0.5,85000
15000,8802,23,15,2,7,5,9,2,30,0,0,2,4,5,2,0.96,0.536,0.695,0.608,0.363,7.46,6.02,4.24,3.42,96.0,1.0,5.0,93.6,1.32,85000
15000,28248,30,21,3,10,12,5,3,30,1,0,3,4,5,6,0.88,0.727,0.415,0.833,0.538,4.42,8.78,6.63,1.87,88.0,3.0,5.0,95.6,1.16,85000
30000,15027,25,22,1,12,6,5,2,60,0,1,2,3,5,11,0.78,0.366,0.482,0.658,0.369,5.06,11.45,8.28,3.43,78.0,5.5,8.01,88.9,2.21,85000
5000,11961,41,24,2,14,11,13,3,10,1,0,3,1,7,18,0.64,0.428,0.6,0.82,0.465,3.46,9.58,7.3,4.6,64.0,9.0,14.13,88.6,2.51,85000
10000,6404,33,20,2,11,6,15,1,20,1,1,3,3,6,3,0.94,0.662,0.436,0.861,0.227,5.67,6.85,4.07,2.69,94.0,1.5,5.0,98.0,0.66,85000
5000,2879,26,28,2,5,8,11,2,10,0,0,2,4,5,3,0.94,0.339,0.563,0.845,0.436,4.13,8.31,6.7,3.32,94.0,1.5,5.0,92.9,1.48,85000
15000,15493,47,38,1,18,17,8,4,30,1,0,4,3,4,15,0.7,0.377,0.408,0.758,0.455,4.7,6.43,6.46,2.24,70.0,7.5,10.11,92.5,1.96,85000
5000,11136,81,53,1,43,21,15,2,10,1,1,5,1,2,3,0.94,0.782,0.515,0.516,0.212,4.94,6.96,4.14,4.02,94.0,1.5,6.15,98.0,0.5,85000
10000,17098,42,38,1,20,9,9,4,20,0,1,4,1,3,13,0.74,0.785,0.632,0.892,0.391,5.66,7.01,5.48,4.35,74.0,6.5,12.98,91.6,1.98,85000
10000,16267,30,28,3,10,8,9,3,20,1,0,3,1,4,13,0.74,0.613,0.547,0.661,0.598,7.4,9.74,7.42,3.48,74.0,6.5,12.85,90.0,1.95,85000
5000,5421,62,57,2,35,7,18,2,10,1,1,4,1,6,17,0.6599999999999999,0.64,0.54,0.514,0.588,7.75,9.08,4.56,4.02,66.0,8.5,14.17,92.2,1.75,85000
30000,16457,45,51,3,17,10,15,3,60,0,0,3,2,1,18,0.64,0.522,0.581,0.737,0.523,5.38,11.98,4.36,1.01,64.0,9.0,12.19,84.4,3.58,85000
30000,24749,60,62,2,19,18,20,3,60,1,1,4,4,6,10,0.8,0.367,0.49,0.643,0.522,4.39,7.26,9.74,1.04,80.0,5.0,6.31,98.0,1.12,85000
5000,4179,35,34,3,17,6,11,1,10,1,0,4,1,5,9,0.8200000000000001,0.683,0.654,0.745,0.235,5.44,6.47,6.45,2.63,82.0,4.5,10.69,95.0,1.29,85000
30000,68033,45,35,1,22,6,15,2,60,0,0,3,3,2,2,0.96,0.336,0.521,0.618,0.293,4.41,10.82,9.58,2.62,96.0,1.0,5.0,95.6,1.02,85000
15000,21837,16,11,1,11,2,3,0,30,1,0,2,1,3,17,0.6599999999999999,0.66,0.66,0.682,0.529,5.77,9.82,7.16,2.85,66.0,8.5,15.0,86.0,2.6,82160
10000,6048,51,35,2,22,7,19,3,20,1,1,4,2,2,17,0.6599999999999999,0.459,0.4,0.704,0.219,4.38,10.24,4.38,4.36,66.0,8.5,12.13,90.6,1.75,85000
5000,9163,42,46,2,15,16,10,1,10,1,0,4,3,3,16,0.6799999999999999,0.768,0.603,0.546,0.217,5.82,11.58,9.07,3.7,68.0,8.0,9.92,92.4,2.07,85000
5000,13050,58,44,3,31,9,16,2,10,0,1,4,3,4,16,0.6799999999999999,0.493,0.66,0.69,0.244,6.17,10.62,4.02,4.44,68.0,8.0,9.72,89.2,2.37,85000
5000,10159,52,45,2,25,12,13,2,10,0,0,3,1,4,2,0.96,0.497,0.679,0.55,0.495,7.87,6.31,8.09,2.87,96.0,1.0,6.42,95.6,1.02,85000
15000,8524,29,22,1,10,7,12,0,30,1,0,2,2,6,2,0.96,0.31,0.437,0.665,0.397,5.02,9.19,7.57,1.04,96.0,1.0,5.91,97.0,0.92,85000
30000,24499,31,22,2,10,7,11,3,60,1,1,3,4,3,15,0.7,0.704,0.436,0.606,0.207,4.47,10.64,7.11,2.39,70.0,7.5,8.14,94.1,1.74,85000
5000,11206,23,19,3,11,2,10,0,10,0,0,2,1,1,13,0.74,0.674,0.542,0.523,0.583,7.71,10.71,9.95,3.18,74.0,6.5,11.64,85.9,3.08,85000
15000,15367,23,15,2,5,4,12,2,30,1,0,2,1,2,13,0.74,0.706,0.591,0.655,0.47,4.3,8.07,9.5,2.16,74.0,6.5,14.79,90.0,2.16,85000
10000,10760,26,16,1,8,5,11,2,20,0,1,2,2,6,14,0.72,0.338,0.482,0.823,0.384,5.73,8.6,4.26,1.66,72.0,7.0,11.69,87.1,2.59,85000
30000,76498,15,12,2,5,4,4,2,60,0,0,2,1,4,12,0.76,0.43,0.531,0.737,0.229,6.11,11.89,5.14,4.17,76.0,6.0,12.83,86.6,2.92,85000
10000,26110,29,21,3,14,7,6,2,20,1,0,2,3,1,12,0.76,0.306,0.403,0.643,0.57,4.14,9.81,5.33,2.29,76.0,6.0,9.02,91.1,2.04,85000
30000,33699,22,13,1,15,2,5,0,60,0,0,2,2,7,7,0.86,0.486,0.518,0.802,0.567,7.75,9.46,6.14,4.15,86.0,3.5,8.42,90.1,2.12,85000
15000,8696,28,25,3,10,7,8,3,30,1,0,3,1,1,2,0.96,0.64,0.467,0.673,0.488,5.82,8.57,5.96,4.36,96.0,1.0,5.88,98.0,0.71,85000
15000,31256,36,38,2,17,8,9,2,30,1,1,3,4,7,8,0.84,0.393,0.499,0.842,0.283,3.36,6.41,9.64,3.03,84.0,4.0,5.8,97.6,1.11,85000
10000,24410,26,22,1,13,6,6,1,20,1,1,3,4,4,9,0.8200000000000001,0.3,0.525,0.709,0.222,7.87,7.36,5.83,2.22,82.0,4.5,5.25,94.4,1.2,85000
15000,28922,33,34,2,12,7,13,1,30,1,0,3,2,6,19,0.62,0.391,0.511,0.861,0.523,7.92,10.53,6.36,3.36,62.0,9.5,13.88,87.3,2.62,85000
10000,8082,51,31,1,23,6,18,4,20,0,1,4,1,4,5,0.9,0.351,0.554,0.704,0.348,7.66,10.97,8.18,3.86,90.0,2.5,8.78,97.4,0.96,85000
5000,4244,57,40,1,31,7,18,1,10,1,1,4,2,6,17,0.6599999999999999,0.651,0.618,0.725,0.579,5.48,8.28,4.98,4.14,66.0,8.5,12.57,91.9,1.75,85000
30000,20142,32,28,2,11,10,8,3,60,0,1,3,1,1,1,0.98,0.454,0.545,0.547,0.585,6.57,11.71,5.36,4.52,98.0,0.5,7.42,98.0,0.69,85000
15000,24945,34,36,3,17,9,7,1,30,1,0,3,2,7,19,0.62,0.614,0.474,0.565,0.275,3.1,8.34,5.15,2.65,62.0,9.5,14.6,88.3,2.62,85000
5000,7446,14,11,2,6,2,5,1,10,1,0,2,2,7,7,0.86,0.616,0.46,0.667,0.5,3.51,7.67,5.66,2.73,86.0,3.5,8.66,95.0,1.48,84200
